id	group
gyrB_pro	protein
secA_pro	protein
PMED4_18601_pro	protein
PMED4_18621_pro	protein
asd_pro	protein
tig_pro	protein
clpP2_pro	protein
clpX_pro	protein
rplT_pro	protein
sqdB_pro	protein
dnaB_pro	protein
aspS_pro	protein
aroE_pro	protein
argG_pro	protein
uvrA_pro	protein
PMED4_19261_pro	protein
thrC_pro	protein
dnaN_mRNA	mRNA
purL_mRNA	mRNA
ftsY_mRNA	mRNA
PMED4_00121_mRNA	mRNA
gap2_mRNA	mRNA
accB_mRNA	mRNA
PMED4_00311_mRNA	mRNA
DHSS_mRNA	mRNA
guaA_mRNA	mRNA
alaS_mRNA	mRNA
ndk_mRNA	mRNA
gatB_mRNA	mRNA
PMED4_00551_mRNA	mRNA
PMED4_00601_mRNA	mRNA
accC_mRNA	mRNA
PMED4_00651_mRNA	mRNA
PMED4_00771_mRNA	mRNA
pgm_mRNA	mRNA
PMED4_01021_mRNA	mRNA
crtQ_mRNA	mRNA
PMED4_01301_mRNA	mRNA
rpaA_mRNA	mRNA
rpaB_mRNA	mRNA
PMED4_01481_mRNA	mRNA
ndhD_mRNA	mRNA
ndhI_mRNA	mRNA
gltA_mRNA	mRNA
cysC_mRNA	mRNA
PMED4_01751_mRNA	mRNA
nadC_mRNA	mRNA
thdF_mRNA	mRNA
pgk_mRNA	mRNA
rplJ_mRNA	mRNA
rplK_mRNA	mRNA
nusG_mRNA	mRNA
eno_mRNA	mRNA
trxB_mRNA	mRNA
PMED4_02201_mRNA	mRNA
psbA_mRNA	mRNA
aroC_mRNA	mRNA
ftsH2_mRNA	mRNA
cysD_mRNA	mRNA
psbO_mRNA	mRNA
ileS_mRNA	mRNA
thy1_mRNA	mRNA
dcd_mRNA	mRNA
glyA_mRNA	mRNA
amt1_mRNA	mRNA
PMED4_02781_mRNA	mRNA
hisB_mRNA	mRNA
fabI_mRNA	mRNA
PMED4_02941_mRNA	mRNA
psbE_mRNA	mRNA
psbL_mRNA	mRNA
PMED4_03061_mRNA	mRNA
metK_mRNA	mRNA
"rps1a, rpsA1_mRNA"	mRNA
minE_mRNA	mRNA
minD_mRNA	mRNA
petB_mRNA	mRNA
PMED4_03341_mRNA	mRNA
psaE_mRNA	mRNA
PMED4_03371_mRNA	mRNA
PMED4_03501_mRNA	mRNA
PMED4_03911_mRNA	mRNA
PMED4_03941_mRNA	mRNA
spnII-interrupted-C_mRNA	mRNA
lrtA_mRNA	mRNA
PMED4_04441_mRNA	mRNA
cysK1_mRNA	mRNA
rpsD_mRNA	mRNA
PMED4_04601_mRNA	mRNA
topA_mRNA	mRNA
fabG_mRNA	mRNA
ppx_mRNA	mRNA
PMED4_05061_mRNA	mRNA
petC_mRNA	mRNA
psaF_mRNA	mRNA
gltX_mRNA	mRNA
rplS_mRNA	mRNA
PMED4_05281_mRNA	mRNA
hflC_mRNA	mRNA
cxp_mRNA	mRNA
PMED4_05451_mRNA	mRNA
purA_mRNA	mRNA
psb27_mRNA	mRNA
proS_mRNA	mRNA
gpmB_mRNA	mRNA
tal_mRNA	mRNA
frr_mRNA	mRNA
ilvH_mRNA	mRNA
"rps1b, rpsA2, nbp1_mRNA"	mRNA
PMED4_05811_mRNA	mRNA
chlL_mRNA	mRNA
chlB_mRNA	mRNA
chlN_mRNA	mRNA
ccmK_mRNA	mRNA
rbcL_mRNA	mRNA
rbcS_mRNA	mRNA
csoS2_mRNA	mRNA
hisG_mRNA	mRNA
PMED4_06251_mRNA	mRNA
PMED4_06261_mRNA	mRNA
hemE_mRNA	mRNA
glgB_mRNA	mRNA
proA_mRNA	mRNA
trpS_mRNA	mRNA
sds_mRNA	mRNA
acs_mRNA	mRNA
PMED4_06911_mRNA	mRNA
PMED4_07151_mRNA	mRNA
nrdJ_mRNA	mRNA
aroB_mRNA	mRNA
PMED4_07841_mRNA	mRNA
PMED4_07981_mRNA	mRNA
PMED4_08091_mRNA	mRNA
PMED4_08181_mRNA	mRNA
PMED4_08261_mRNA	mRNA
PMED4_08271_mRNA	mRNA
PMED4_08281_mRNA	mRNA
rpsB_mRNA	mRNA
sir_mRNA	mRNA
chlP_mRNA	mRNA
typA_mRNA	mRNA
rpe_mRNA	mRNA
glpX_mRNA	mRNA
hemA_mRNA	mRNA
glgC_mRNA	mRNA
gnd_mRNA	mRNA
PMED4_08621_mRNA	mRNA
PMED4_08661_mRNA	mRNA
cbbA_mRNA	mRNA
prkB_mRNA	mRNA
PMED4_08831_mRNA	mRNA
PMED4_08901_mRNA	mRNA
carB_mRNA	mRNA
tpi_mRNA	mRNA
chlH_mRNA	mRNA
mfd_mRNA	mRNA
"PNIL34,AT103_mRNA"	mRNA
PMED4_09741_mRNA	mRNA
metG_mRNA	mRNA
pheT_mRNA	mRNA
metH_mRNA	mRNA
ilvE_mRNA	mRNA
PMED4_09941_mRNA	mRNA
PMED4_09971_mRNA	mRNA
leuS_mRNA	mRNA
pgi_mRNA	mRNA
argC_mRNA	mRNA
PMED4_10051_mRNA	mRNA
dnaK_mRNA	mRNA
rpmB_mRNA	mRNA
psaK_mRNA	mRNA
Dxs_mRNA	mRNA
pykF_mRNA	mRNA
glnA_mRNA	mRNA
psb28_mRNA	mRNA
pdhB_mRNA	mRNA
PMED4_10521_mRNA	mRNA
rpsO_mRNA	mRNA
gatA_mRNA	mRNA
